ProjectId,Benchmark (Y/N),ProjectedProjectStart,ProjectedDesignStart,ProjectedDesignCompletion,ProjectedConstructionStart,ProjectedConstructionCompletion,OrgProjectStart,OrgDesignStart,OrgDesignCompletion,OrgConstructionStart,OrgConstructionCompletion,ClientExtProjectStart,ClientExtOrgDesignStart,ClientExtOrgDesignCompletion,ClientExtOrgConstructionStart,ClientExtOrgConstructionCompletion,ActProjectStart,ActDesignStart,ActDesignCompletion,ActConstructionStart,ActConstructionCompletion,ClientExtBaseDesignCompletion,ClientExtBaseConstructionCompletion,DesignBaselineProjectStart,ConstructionBaselineProjectStart,DesignBaselineDesignStart,ConstructionBaselineDesignStart,OrgSchematicDesignCompletion,ProjectedSchematicDesignCompletion,ActSchematicDesignCompletion,DesignBaselineSchematicDesignCompletion,ConstructionBaselineSchematicDesignCompletion,OrgDesignDevelopmentCompletion,ProjectedDesignDevelopmentCompletion,ActDesignDevelopmentCompletion,DesignBaselineDesignDevelopmentCompletion,ConstructionBaselineDesignDevelopmentCompletion,DesignBaselineDesignCompletion,ConstructionBaselineDesignCompletion,DesignBaselineConstructionStart,ConstructionBaselineConstructionStart,DesignBaselineConstructionCompletion,ConstructionBaselineConstructionCompletion,OrgProjectCloseout,ProjectedProjectCloseout,ActProjectCloseout,DesignBaselineProjectCloseout,ConstructionBaselineProjectCloseout,CreatedDate,ModifiedDate
LNCA15RSD,Y,2014-12-15 00:00:00.0000000 +00:00,2017-01-10 00:00:00.0000000 +00:00,2018-02-28 00:00:00.0000000 +00:00,2018-09-28 00:00:00.0000000 +00:00,2019-07-30 00:00:00.0000000 +00:00,2014-12-15 00:00:00.0000000 +00:00,2015-04-29 00:00:00.0000000 +00:00,2015-08-04 00:00:00.0000000 +00:00,2015-12-04 00:00:00.0000000 +00:00,2016-07-01 00:00:00.0000000 +00:00,2014-12-15 00:00:00.0000000 +00:00,2015-09-01 00:00:00.0000000 +00:00,2017-06-08 00:00:00.0000000 +00:00,2018-01-02 00:00:00.0000000 +00:00,2018-04-26 00:00:00.0000000 +00:00,2014-12-15 00:00:00.0000000 +00:00,2016-04-04 00:00:00.0000000 +00:00,,,,2020-02-27 00:00:00.0000000 +00:00,,2014-12-15 00:00:00.0000000 +00:00,,2016-04-04 00:00:00.0000000 +00:00,,,2017-08-24 00:00:00.0000000 +00:00,2017-08-24 00:00:00.0000000 +00:00,2017-08-24 00:00:00.0000000 +00:00,,,2017-08-25 00:00:00.0000000 +00:00,2017-08-25 00:00:00.0000000 +00:00,2017-08-25 00:00:00.0000000 +00:00,,2018-02-28 00:00:00.0000000 +00:00,,2018-09-28 00:00:00.0000000 +00:00,,2019-07-30 00:00:00.0000000 +00:00,,2018-07-01 00:00:00.0000000 +00:00,2021-07-30 00:00:00.0000000 +00:00,,2021-07-30 00:00:00.0000000 +00:00,,,2017-08-31 10:58:46.3453170 -04:00
LNCA15SPK,Y,2014-11-17 00:00:00.0000000 +00:00,2015-08-29 00:00:00.0000000 +00:00,2016-04-30 00:00:00.0000000 +00:00,2016-05-30 00:00:00.0000000 +00:00,2017-12-29 00:00:00.0000000 +00:00,2014-11-17 00:00:00.0000000 +00:00,2015-08-29 00:00:00.0000000 +00:00,2016-04-30 00:00:00.0000000 +00:00,2016-10-13 00:00:00.0000000 +00:00,2017-03-13 00:00:00.0000000 +00:00,2014-11-17 00:00:00.0000000 +00:00,2015-08-29 00:00:00.0000000 +00:00,2016-04-30 00:00:00.0000000 +00:00,2016-05-30 00:00:00.0000000 +00:00,2017-06-27 00:00:00.0000000 +00:00,2014-11-17 00:00:00.0000000 +00:00,2015-02-12 00:00:00.0000000 +00:00,2015-06-15 00:00:00.0000000 +00:00,2016-05-25 00:00:00.0000000 +00:00,,2015-06-05 00:00:00.0000000 +00:00,2017-10-03 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-31 16:51:03.3866561 -04:00
LNCAL15CC,Y,2014-12-18 00:00:00.0000000 +00:00,2016-10-31 00:00:00.0000000 +00:00,2018-07-15 00:00:00.0000000 +00:00,2019-02-09 00:00:00.0000000 +00:00,2020-08-09 00:00:00.0000000 +00:00,2014-12-18 00:00:00.0000000 +00:00,2015-06-05 00:00:00.0000000 +00:00,2015-11-17 00:00:00.0000000 +00:00,2016-05-16 00:00:00.0000000 +00:00,2017-11-22 00:00:00.0000000 +00:00,2014-12-18 00:00:00.0000000 +00:00,2016-03-25 00:00:00.0000000 +00:00,2017-04-13 00:00:00.0000000 +00:00,2017-10-11 00:00:00.0000000 +00:00,2019-04-19 00:00:00.0000000 +00:00,2014-12-18 00:00:00.0000000 +00:00,2016-10-31 17:00:00.0000000 +00:00,,,,2018-11-14 00:00:00.0000000 +00:00,,2014-12-18 00:00:00.0000000 +00:00,,2016-10-31 17:00:00.0000000 +00:00,,2015-07-05 00:00:00.0000000 +00:00,2017-12-29 00:00:00.0000000 +00:00,,2017-12-29 00:00:00.0000000 +00:00,,2015-08-05 00:00:00.0000000 +00:00,2018-02-15 00:00:00.0000000 +00:00,,2018-02-15 00:00:00.0000000 +00:00,,2018-07-15 00:00:00.0000000 +00:00,,2019-02-09 00:00:00.0000000 +00:00,,2020-08-09 00:00:00.0000000 +00:00,,2019-11-22 00:00:00.0000000 +00:00,2022-08-09 00:00:00.0000000 +00:00,,2022-08-09 00:00:00.0000000 +00:00,,,
LNCAL15CP,Y,2014-12-31 00:00:00.0000000 +00:00,2015-04-06 00:00:00.0000000 +00:00,2015-08-04 00:00:00.0000000 +00:00,2017-06-30 00:00:00.0000000 +00:00,2017-12-20 00:00:00.0000000 +00:00,2014-12-31 00:00:00.0000000 +00:00,2015-10-13 00:00:00.0000000 +00:00,2016-02-17 00:00:00.0000000 +00:00,2016-08-31 00:00:00.0000000 +00:00,2017-05-20 00:00:00.0000000 +00:00,2014-12-31 00:00:00.0000000 +00:00,2015-10-13 00:00:00.0000000 +00:00,2016-02-07 00:00:00.0000000 +00:00,2018-03-11 00:00:00.0000000 +00:00,2018-10-25 00:00:00.0000000 +00:00,2014-12-31 00:00:00.0000000 +00:00,2015-04-06 00:00:00.0000000 +00:00,2015-08-04 00:00:00.0000000 +00:00,2017-06-08 17:00:00.0000000 +00:00,,2015-02-14 00:00:00.0000000 +00:00,2017-11-29 00:00:00.0000000 +00:00,2014-12-31 00:00:00.0000000 +00:00,2014-12-31 00:00:00.0000000 +00:00,2015-04-06 00:00:00.0000000 +00:00,2015-04-06 00:00:00.0000000 +00:00,,2015-06-05 00:00:00.0000000 +00:00,2015-06-05 00:00:00.0000000 +00:00,2015-06-05 00:00:00.0000000 +00:00,2015-06-05 00:00:00.0000000 +00:00,,2015-07-07 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-07-07 00:00:00.0000000 +00:00,2015-08-04 00:00:00.0000000 +00:00,2015-08-04 00:00:00.0000000 +00:00,2017-06-08 00:00:00.0000000 +00:00,2017-06-08 00:00:00.0000000 +00:00,,,2019-05-20 00:00:00.0000000 +00:00,2019-12-14 00:00:00.0000000 +00:00,,,,,2017-10-31 16:36:53.4876588 -04:00
LNCAL15TV,Y,2014-12-12 00:00:00.0000000 +00:00,2015-06-24 00:00:00.0000000 +00:00,2018-01-15 00:00:00.0000000 +00:00,2018-09-01 00:00:00.0000000 +00:00,2019-07-01 00:00:00.0000000 +00:00,2014-11-26 00:00:00.0000000 +00:00,2015-08-02 00:00:00.0000000 +00:00,2015-12-07 00:00:00.0000000 +00:00,2016-06-20 00:00:00.0000000 +00:00,2017-03-29 00:00:00.0000000 +00:00,2014-11-26 00:00:00.0000000 +00:00,2015-08-02 00:00:00.0000000 +00:00,2016-02-15 00:00:00.0000000 +00:00,2016-09-22 00:00:00.0000000 +00:00,2017-07-01 00:00:00.0000000 +00:00,2014-12-04 00:00:00.0000000 +00:00,2015-06-24 00:00:00.0000000 +00:00,,,,2018-01-15 00:00:00.0000000 +00:00,,2014-12-04 00:00:00.0000000 +00:00,,2015-06-24 00:00:00.0000000 +00:00,,2015-09-02 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,,2015-10-02 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,2016-03-07 00:00:00.0000000 +00:00,,2017-12-15 00:00:00.0000000 +00:00,,2018-08-01 00:00:00.0000000 +00:00,,2019-07-01 00:00:00.0000000 +00:00,,2019-03-29 00:00:00.0000000 +00:00,2021-07-01 00:00:00.0000000 +00:00,,2021-07-01 00:00:00.0000000 +00:00,,,2017-12-04 11:04:14.6033287 -05:00
LNCEA08GC,Y,2008-01-25 00:00:00.0000000 +00:00,2009-12-29 00:00:00.0000000 +00:00,2016-04-15 00:00:00.0000000 +00:00,2017-02-16 00:00:00.0000000 +00:00,2017-11-30 00:00:00.0000000 +00:00,2008-01-25 00:00:00.0000000 +00:00,2008-12-06 00:00:00.0000000 +00:00,2009-06-10 00:00:00.0000000 +00:00,2009-09-11 00:00:00.0000000 +00:00,2010-06-10 00:00:00.0000000 +00:00,2008-01-25 00:00:00.0000000 +00:00,2010-01-21 00:00:00.0000000 +00:00,2011-08-16 00:00:00.0000000 +00:00,2015-12-29 00:00:00.0000000 +00:00,2017-09-14 00:00:00.0000000 +00:00,2008-01-25 00:00:00.0000000 +00:00,2009-12-29 00:00:00.0000000 +00:00,,,,2011-08-16 00:00:00.0000000 +00:00,2016-08-16 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-31 15:46:50.4289445 -04:00
LNCEA08GC1,Y,2008-01-25 00:00:00.0000000 +00:00,2009-12-29 00:00:00.0000000 +00:00,2010-12-12 00:00:00.0000000 +00:00,2013-06-18 00:00:00.0000000 +00:00,2015-02-09 00:00:00.0000000 +00:00,2008-01-25 00:00:00.0000000 +00:00,2009-12-29 00:00:00.0000000 +00:00,2010-07-26 00:00:00.0000000 +00:00,2010-10-27 00:00:00.0000000 +00:00,2011-10-26 00:00:00.0000000 +00:00,2008-01-25 00:00:00.0000000 +00:00,2009-12-29 00:00:00.0000000 +00:00,2010-12-14 00:00:00.0000000 +00:00,2013-06-03 00:00:00.0000000 +00:00,2015-01-09 00:00:00.0000000 +00:00,2008-01-25 00:00:00.0000000 +00:00,2009-12-29 00:00:00.0000000 +00:00,2010-12-12 00:00:00.0000000 +00:00,2013-06-18 00:00:00.0000000 +00:00,2015-02-09 00:00:00.0000000 +00:00,2010-12-14 00:00:00.0000000 +00:00,2015-01-24 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-05 17:15:08.0098040 -05:00
LNCL15CAS,Y,2014-12-04 00:00:00.0000000 +00:00,2016-04-22 00:00:00.0000000 +00:00,2018-09-01 00:00:00.0000000 +00:00,2019-03-30 00:00:00.0000000 +00:00,2020-07-01 00:00:00.0000000 +00:00,2014-12-04 00:00:00.0000000 +00:00,2015-03-27 00:00:00.0000000 +00:00,2015-12-05 00:00:00.0000000 +00:00,2016-03-22 00:00:00.0000000 +00:00,2017-12-03 00:00:00.0000000 +00:00,2014-12-04 00:00:00.0000000 +00:00,2015-03-27 00:00:00.0000000 +00:00,2018-08-14 00:00:00.0000000 +00:00,2018-06-18 00:00:00.0000000 +00:00,2019-04-04 00:00:00.0000000 +00:00,2014-12-04 00:00:00.0000000 +00:00,2015-05-04 00:00:00.0000000 +00:00,,,,2018-08-01 00:00:00.0000000 +00:00,,2014-12-04 00:00:00.0000000 +00:00,,2015-05-04 00:00:00.0000000 +00:00,,2015-06-27 00:00:00.0000000 +00:00,2017-02-03 00:00:00.0000000 +00:00,2017-02-03 00:00:00.0000000 +00:00,2017-02-03 00:00:00.0000000 +00:00,,2015-09-28 00:00:00.0000000 +00:00,,,,,,,,,,,2019-12-03 00:00:00.0000000 +00:00,2022-07-01 00:00:00.0000000 +00:00,,,,,2017-08-31 11:08:13.6394053 -04:00
LNCM10DCH,Y,2010-09-02 00:00:00.0000000 +00:00,2011-03-01 00:00:00.0000000 +00:00,2011-05-27 00:00:00.0000000 +00:00,2012-05-10 00:00:00.0000000 +00:00,2015-05-11 00:00:00.0000000 +00:00,2010-09-02 00:00:00.0000000 +00:00,2011-03-01 00:00:00.0000000 +00:00,2011-05-27 00:00:00.0000000 +00:00,2011-11-08 00:00:00.0000000 +00:00,2014-11-08 00:00:00.0000000 +00:00,2010-09-02 00:00:00.0000000 +00:00,2011-05-27 00:00:00.0000000 +00:00,2011-03-01 00:00:00.0000000 +00:00,2012-05-10 00:00:00.0000000 +00:00,2015-05-11 00:00:00.0000000 +00:00,2010-09-02 00:00:00.0000000 +00:00,2011-03-01 00:00:00.0000000 +00:00,2011-05-27 00:00:00.0000000 +00:00,2012-05-10 00:00:00.0000000 +00:00,2015-05-11 00:00:00.0000000 +00:00,2011-05-27 00:00:00.0000000 +00:00,2015-05-11 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNCM10WCH,Y,2011-12-02 00:00:00.0000000 +00:00,2013-05-11 00:00:00.0000000 +00:00,2018-02-09 00:00:00.0000000 +00:00,2018-10-19 00:00:00.0000000 +00:00,2021-06-07 00:00:00.0000000 +00:00,2011-12-02 00:00:00.0000000 +00:00,2013-05-15 00:00:00.0000000 +00:00,2014-12-08 00:00:00.0000000 +00:00,2015-06-11 00:00:00.0000000 +00:00,2017-05-31 00:00:00.0000000 +00:00,2011-12-02 00:00:00.0000000 +00:00,2013-05-15 00:00:00.0000000 +00:00,2017-07-07 00:00:00.0000000 +00:00,2018-06-23 00:00:00.0000000 +00:00,2020-06-12 00:00:00.0000000 +00:00,2011-12-02 00:00:00.0000000 +00:00,2013-05-13 00:00:00.0000000 +00:00,,,,2018-02-09 00:00:00.0000000 +00:00,,2011-12-02 00:00:00.0000000 +00:00,,2013-05-13 00:00:00.0000000 +00:00,,,,2014-06-13 00:00:00.0000000 +00:00,2014-06-13 00:00:00.0000000 +00:00,,,,2016-11-25 00:00:00.0000000 +00:00,2016-11-25 00:00:00.0000000 +00:00,,2018-02-09 00:00:00.0000000 +00:00,,2019-01-18 00:00:00.0000000 +00:00,,2021-06-07 00:00:00.0000000 +00:00,,2019-05-31 00:00:00.0000000 +00:00,2022-02-11 00:00:00.0000000 +00:00,,2022-02-11 00:00:00.0000000 +00:00,,,2017-12-05 12:05:01.7644088 -05:00
LNCM10WCH1,Y,2013-10-01 00:00:00.0000000 +00:00,2014-05-19 00:00:00.0000000 +00:00,,,,2013-10-01 00:00:00.0000000 +00:00,2014-04-06 00:00:00.0000000 +00:00,2016-03-26 00:00:00.0000000 +00:00,2016-03-26 00:00:00.0000000 +00:00,2016-05-25 00:00:00.0000000 +00:00,2013-10-01 00:00:00.0000000 +00:00,2014-05-20 00:00:00.0000000 +00:00,2017-12-13 00:00:00.0000000 +00:00,2017-07-15 00:00:00.0000000 +00:00,2017-11-05 00:00:00.0000000 +00:00,2013-10-01 00:00:00.0000000 +00:00,2014-05-19 00:00:00.0000000 +00:00,2016-06-21 00:00:00.0000000 +00:00,2016-07-22 00:00:00.0000000 +00:00,2016-10-11 00:00:00.0000000 +00:00,2017-03-10 00:00:00.0000000 +00:00,2016-11-16 00:00:00.0000000 +00:00,2013-10-01 00:00:00.0000000 +00:00,,2014-05-19 00:00:00.0000000 +00:00,,,,2015-05-08 00:00:00.0000000 +00:00,2015-05-08 00:00:00.0000000 +00:00,,,,2015-12-11 00:00:00.0000000 +00:00,2015-12-11 00:00:00.0000000 +00:00,,2016-05-08 00:00:00.0000000 +00:00,,2016-07-22 00:00:00.0000000 +00:00,,2016-12-12 00:00:00.0000000 +00:00,,,,2016-12-12 00:00:00.0000000 +00:00,2016-12-12 00:00:00.0000000 +00:00,,,2017-11-29 15:04:02.2357704 -05:00
LNCM12CPT,Y,2014-07-07 00:00:00.0000000 +00:00,2015-12-26 00:00:00.0000000 +00:00,2017-11-15 00:00:00.0000000 +00:00,2018-06-18 00:00:00.0000000 +00:00,2019-04-18 00:00:00.0000000 +00:00,2014-07-07 00:00:00.0000000 +00:00,2015-04-22 00:00:00.0000000 +00:00,2016-12-28 00:00:00.0000000 +00:00,2017-03-10 00:00:00.0000000 +00:00,2017-12-18 00:00:00.0000000 +00:00,2014-07-07 00:00:00.0000000 +00:00,2015-04-22 00:00:00.0000000 +00:00,2016-01-19 00:00:00.0000000 +00:00,2016-05-19 00:00:00.0000000 +00:00,2017-01-29 00:00:00.0000000 +00:00,2014-07-07 00:00:00.0000000 +00:00,2015-09-15 00:00:00.0000000 +00:00,2017-06-30 00:00:00.0000000 +00:00,,,2017-05-24 00:00:00.0000000 +00:00,,,,,,2015-09-30 00:00:00.0000000 +00:00,2016-06-16 00:00:00.0000000 +00:00,2016-06-17 00:00:00.0000000 +00:00,,,2016-03-25 00:00:00.0000000 +00:00,2016-07-15 00:00:00.0000000 +00:00,2017-01-27 00:00:00.0000000 +00:00,,,,,,,,,2018-12-17 00:00:00.0000000 +00:00,2021-02-18 00:00:00.0000000 +00:00,,,,,
LNCM12NDP,Y,2014-06-19 00:00:00.0000000 +00:00,2015-09-22 00:00:00.0000000 +00:00,2016-10-12 00:00:00.0000000 +00:00,2017-06-05 00:00:00.0000000 +00:00,2017-11-20 00:00:00.0000000 +00:00,2014-06-19 00:00:00.0000000 +00:00,2014-12-16 00:00:00.0000000 +00:00,2015-08-15 00:00:00.0000000 +00:00,2015-11-06 00:00:00.0000000 +00:00,2016-05-05 00:00:00.0000000 +00:00,2014-06-19 00:00:00.0000000 +00:00,2015-05-23 00:00:00.0000000 +00:00,2016-07-22 00:00:00.0000000 +00:00,2016-12-27 00:00:00.0000000 +00:00,2017-04-18 00:00:00.0000000 +00:00,2014-06-19 00:00:00.0000000 +00:00,2015-09-22 00:00:00.0000000 +00:00,2016-10-12 00:00:00.0000000 +00:00,2017-06-05 17:00:00.0000000 +00:00,2017-11-17 00:00:00.0000000 +00:00,,,2014-06-19 00:00:00.0000000 +00:00,2014-06-19 00:00:00.0000000 +00:00,2015-09-22 00:00:00.0000000 +00:00,2015-09-22 00:00:00.0000000 +00:00,2015-01-16 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2015-02-16 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-10-12 00:00:00.0000000 +00:00,2016-10-12 00:00:00.0000000 +00:00,2017-06-05 00:00:00.0000000 +00:00,2017-06-05 17:00:00.0000000 +00:00,2017-11-20 00:00:00.0000000 +00:00,2017-11-20 00:00:00.0000000 +00:00,2018-05-05 00:00:00.0000000 +00:00,2019-11-20 00:00:00.0000000 +00:00,,2019-11-20 00:00:00.0000000 +00:00,2019-11-20 00:00:00.0000000 +00:00,,2017-11-27 11:59:30.0854446 -05:00
LNDSVRENO,Y,2005-11-03 00:00:00.0000000 +00:00,2007-09-06 00:00:00.0000000 +00:00,2008-06-27 00:00:00.0000000 +00:00,2012-07-10 00:00:00.0000000 +00:00,2015-07-10 00:00:00.0000000 +00:00,2005-11-03 00:00:00.0000000 +00:00,2006-08-03 00:00:00.0000000 +00:00,2007-06-03 00:00:00.0000000 +00:00,2007-11-03 00:00:00.0000000 +00:00,2008-08-03 00:00:00.0000000 +00:00,2005-11-03 00:00:00.0000000 +00:00,2007-09-06 00:00:00.0000000 +00:00,2008-06-27 00:00:00.0000000 +00:00,2010-03-04 00:00:00.0000000 +00:00,2013-03-03 00:00:00.0000000 +00:00,2005-11-03 00:00:00.0000000 +00:00,2007-09-06 00:00:00.0000000 +00:00,,2012-07-10 00:00:00.0000000 +00:00,2015-05-01 00:00:00.0000000 +00:00,2008-06-27 00:00:00.0000000 +00:00,2015-07-10 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-05 17:10:52.9593883 -05:00
LNEA08MHV1,Y,2009-10-20 00:00:00.0000000 +00:00,2009-10-22 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2012-05-29 00:00:00.0000000 +00:00,2013-08-23 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2012-05-29 00:00:00.0000000 +00:00,2013-07-16 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2012-05-29 00:00:00.0000000 +00:00,2013-08-23 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2009-10-22 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2012-05-29 00:00:00.0000000 +00:00,2013-09-09 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2013-08-23 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNEA08MHV2,Y,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2013-07-24 00:00:00.0000000 +00:00,2014-09-30 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2013-07-24 00:00:00.0000000 +00:00,2013-10-28 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2013-07-24 00:00:00.0000000 +00:00,2014-07-11 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2013-07-24 00:00:00.0000000 +00:00,2014-09-30 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2014-09-30 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-06 09:25:24.9594184 -05:00
LNEA08MHV3,Y,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2018-03-15 00:00:00.0000000 +00:00,2018-10-30 00:00:00.0000000 +00:00,2019-10-30 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2013-10-14 00:00:00.0000000 +00:00,2014-01-18 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,2011-01-29 00:00:00.0000000 +00:00,2016-03-04 00:00:00.0000000 +00:00,2017-08-29 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2009-10-20 00:00:00.0000000 +00:00,,,,2015-06-27 00:00:00.0000000 +00:00,,,,,,2009-10-20 00:00:00.0000000 +00:00,2010-03-15 00:00:00.0000000 +00:00,2010-03-15 00:00:00.0000000 +00:00,,,2010-03-16 00:00:00.0000000 +00:00,2010-08-19 00:00:00.0000000 +00:00,2010-08-19 00:00:00.0000000 +00:00,,,,,,,,,2016-01-18 00:00:00.0000000 +00:00,2020-10-30 00:00:00.0000000 +00:00,,,,,2017-08-31 11:19:28.4706128 -04:00
LNEA13HGR,Y,2013-05-20 00:00:00.0000000 +00:00,2014-05-12 00:00:00.0000000 +00:00,2018-07-15 00:00:00.0000000 +00:00,2019-04-15 00:00:00.0000000 +00:00,2020-04-15 00:00:00.0000000 +00:00,2013-01-14 00:00:00.0000000 +00:00,2013-12-13 00:00:00.0000000 +00:00,2014-12-12 00:00:00.0000000 +00:00,2015-07-17 00:00:00.0000000 +00:00,2016-08-11 00:00:00.0000000 +00:00,2013-01-14 00:00:00.0000000 +00:00,2014-06-15 00:00:00.0000000 +00:00,2017-07-13 00:00:00.0000000 +00:00,2018-02-15 00:00:00.0000000 +00:00,2019-03-13 00:00:00.0000000 +00:00,2013-03-18 00:00:00.0000000 +00:00,2014-05-12 00:00:00.0000000 +00:00,,,,2019-07-09 00:00:00.0000000 +00:00,,2013-03-18 00:00:00.0000000 +00:00,,2014-05-12 00:00:00.0000000 +00:00,,,2014-09-22 00:00:00.0000000 +00:00,2014-09-22 00:00:00.0000000 +00:00,2014-09-22 00:00:00.0000000 +00:00,,,2018-01-29 00:00:00.0000000 +00:00,,2018-01-29 00:00:00.0000000 +00:00,,2018-07-15 00:00:00.0000000 +00:00,,2019-04-15 00:00:00.0000000 +00:00,,2020-04-15 00:00:00.0000000 +00:00,,2018-08-11 00:00:00.0000000 +00:00,2022-05-18 00:00:00.0000000 +00:00,,2022-05-18 00:00:00.0000000 +00:00,,,2017-08-31 11:21:14.7743460 -04:00
LNEA13MAC,Y,2013-05-30 00:00:00.0000000 +00:00,2015-01-06 00:00:00.0000000 +00:00,2015-06-24 00:00:00.0000000 +00:00,2016-07-04 00:00:00.0000000 +00:00,2017-08-12 00:00:00.0000000 +00:00,2013-05-30 00:00:00.0000000 +00:00,2014-03-25 00:00:00.0000000 +00:00,2015-03-21 00:00:00.0000000 +00:00,2015-12-07 00:00:00.0000000 +00:00,2017-01-14 00:00:00.0000000 +00:00,2013-05-30 00:00:00.0000000 +00:00,2015-01-06 00:00:00.0000000 +00:00,2015-09-07 00:00:00.0000000 +00:00,2016-12-31 00:00:00.0000000 +00:00,2018-02-08 00:00:00.0000000 +00:00,2013-05-30 00:00:00.0000000 +00:00,2015-01-06 00:00:00.0000000 +00:00,2015-06-24 00:00:00.0000000 +00:00,,,2015-03-11 00:00:00.0000000 +00:00,2017-05-01 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-07 16:45:24.2729218 -04:00
LNEA13MHU,Y,2013-02-11 00:00:00.0000000 +00:00,2016-05-29 00:00:00.0000000 +00:00,2018-01-19 00:00:00.0000000 +00:00,2018-09-17 00:00:00.0000000 +00:00,2019-08-19 00:00:00.0000000 +00:00,2013-02-11 00:00:00.0000000 +00:00,2013-05-13 00:00:00.0000000 +00:00,2013-07-23 00:00:00.0000000 +00:00,2013-12-21 00:00:00.0000000 +00:00,2014-07-10 00:00:00.0000000 +00:00,2013-02-11 00:00:00.0000000 +00:00,2015-02-16 00:00:00.0000000 +00:00,2015-10-19 00:00:00.0000000 +00:00,2016-05-13 00:00:00.0000000 +00:00,2016-10-22 00:00:00.0000000 +00:00,2013-02-11 00:00:00.0000000 +00:00,2014-11-20 00:00:00.0000000 +00:00,,,,2016-09-03 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,2016-07-09 00:00:00.0000000 +00:00,2021-08-18 00:00:00.0000000 +00:00,,,,,2017-10-02 10:34:23.4530509 -04:00
