ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
HWK639WA,HWK639WA,Y,Infrastructure,BROOKLYN,"TILLARY STREET - PHASE II, BROOKLYN","TILLARY STREET - PHASE II, BROOKLYN","TILLARY STREET - PHASE II, BROOKLYN",Brooklyn,,Transportation,Compliance,New Construction,Critical,Standard Consultant,Requirements TO,PIMS,FALSE,,2016,2017,,DDC
HWMP2012,HWMP2012,Y,Infrastructure,Manhattan & Citywide,TIMES & DUFFY SQUARES RECONSTRUCTION  (SEN002160),"Reconstruction of streets and implementation of pedestrian spaces  in the Times Square and Duffy Square areas, including reconstruction of watermains and sewers as deemed necessary, Borough of Manhattan","Street reconstruction, including sewer and water main work.












",Manhattan,,Transportation,Substantial Completion,Other,Standard,Requirements TO,Standard Consultant,PIMS,TRUE,,,,,DDC
HWMP2012,SEN002160,Y,Infrastructure,Manhattan & Citywide,TIMES & DUFFY SQUARES RECONSTRUCTION  (SEN002160),"Reconstruction of streets and implementation of pedestrian spaces  in the Times Square and Duffy Square areas, including reconstruction of watermains and sewers as deemed necessary, Borough of Manhattan","Street reconstruction, including sewer and water main work.












",Manhattan,,Transportation,Substantial Completion,Other,Standard,Requirements TO,Standard Consultant,PIMS,TRUE,,,,,DDC
HWK700B,BED-768B,Y,Infrastructure,Brooklyn,"RECONST. OF COLUMBIA ST., PH II/BED-768B/SEK002321","Roadway reconstruction including new sewers, water main, street lighting and traffic signals on Columbia Street Area south of Hamilton Avenue.

Trunk water main connections at shaft 23B in Columbia Street area. Reconstruction of Walcott Street Outfall.
Trunk water Main:
1. Van Brunt Street between Hamilton Avenue north bound and Delavan Street
2. delavan Street between Van Brunt Street and Columbia street
3. Nelson Street between Columbia Street and Hicks Street
4. Hicks Steeet between Luquer Street and W. 9th  Street
5. W. 9th Street and between Columbia street and Clinton Street ( to connect with water main installed under BED-759)

Distribution Water Mains:
1. Van Brunt Street between Hamilton Avenue south bound and Delavan Street
2. Richards Street beween Verona street and Commerce Street
3.  Hicks Steeet between Luquer Street and W. 9th  Street
4. Huntington Street between Hicks Street and Hamilton Avenue Southbound
5. W. 9th Street and between Columbia street and Clinton Street ( to connect with water main installed under BED-759)

Replacement of combined sewers in :
1. Van Brunt Street between Hamilton Avenue south bound and Summit Street
2. Intersection of Van Brunt and Bowne Street
3. Delavan Street between Van Brunt Street and Dwight Street
4. Nelson Street between Columbia Street and Hicks Street
5. Huntington Street between Hicks Street and Hamilton Avenue Southbound
6. W. 9th Street and between  Hicks Steeet and Hamilton Avenue Southbound
7. Wolcott Street between Ferris Street and Bulkhead
8. Outfall in Buttermilk Channel

Lining of Combined Sewers in:
1. Van Brunt Street between Commerce and Verona Street
2. Intersection of Hicks Street and Nelson Street
3. Hicks Street between Huntington Street and  W. 9th Street 
4. Hicks Street intersection between Hicks Street and  W. 9th Street

Guniting of Combined Sewers in:
1. Columbus Street Nelson Street and Huntington Street
2. Richards Street between Commerce Street and Verona Street.","Roadway reconstruction including new sewers, water main, street lighting and traffic signals: Columbia Street south of Hamilton Avenue.






",Brooklyn,,Trans. & Env. Protection,Pre-Design/PrgDevelopment,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWMP2012-ER,HWMP2012-,Y,Infrastructure,MANHATTAN & CITYWIDE,URGENT SAFETY IMPROVEMENTS IN TIMES SQUARE,"Urgent safety improvements in Times Square between W. 42nd Street and W. 47th Street, Manhattan","Urgent safety improvements in Times Square between W. 42nd Street and W. 47th Street, Manhattan",Manhattan,,Transportation,Compliance,Other,Critical,Requirements TO,,PIMS,TRUE,,2018,2018,,DDC
HWMP2017,HWMP2017,Y,Infrastructure,MANHATTAN & CITYWIDE,"WADSWORTH TERRACE, FAIRVIEW TO W 190TH ST (MED626)","Reconstruction of Wadsworth Terrace from Fairview Avenue to West 190th Street, Manhattan","Reconstruction of Wadsworth Terrace from Fairview Avenue to West 190th Street, Manhattan",Manhattan,,Transportation,Substantial Completion,Street Reconstruction,Standard,In-House/Consultant,DDC Managed Consultant,PIMS,FALSE,,2014,2015,,DDC
HWMP2019,HWMP2019,Y,Infrastructure,Manhattan & Citywide,EAST HOUSTON ST PEDESTRIAN IMPROVEMENTS (MED604),"Street Reconstruction of East Houston St. from Bowery to FDR Drive.  Originally scoped to improve pedestrian and bicycle circulation on East Houston, this project will implement watermain and sewer replacement in addition to neckdowns, sidewalk widenings, and median enlargements in Manhattan.","Roadway reconstruction, East Houston Street from the Bowery to the FDR Drive, includes sewer and water main replacement, reconfigured sidewalks, medians and traffic neck downs.",Manhattan,,Transportation,Construction 75%-Subst.,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWK700B,HWK700B,Y,Infrastructure,Brooklyn,"RECONST. OF COLUMBIA ST., PH II/BED-768B/SEK002321","Roadway reconstruction including new sewers, water main, street lighting and traffic signals on Columbia Street Area south of Hamilton Avenue.

Trunk water main connections at shaft 23B in Columbia Street area. Reconstruction of Walcott Street Outfall.
Trunk water Main:
1. Van Brunt Street between Hamilton Avenue north bound and Delavan Street
2. delavan Street between Van Brunt Street and Columbia street
3. Nelson Street between Columbia Street and Hicks Street
4. Hicks Steeet between Luquer Street and W. 9th  Street
5. W. 9th Street and between Columbia street and Clinton Street ( to connect with water main installed under BED-759)

Distribution Water Mains:
1. Van Brunt Street between Hamilton Avenue south bound and Delavan Street
2. Richards Street beween Verona street and Commerce Street
3.  Hicks Steeet between Luquer Street and W. 9th  Street
4. Huntington Street between Hicks Street and Hamilton Avenue Southbound
5. W. 9th Street and between Columbia street and Clinton Street ( to connect with water main installed under BED-759)

Replacement of combined sewers in :
1. Van Brunt Street between Hamilton Avenue south bound and Summit Street
2. Intersection of Van Brunt and Bowne Street
3. Delavan Street between Van Brunt Street and Dwight Street
4. Nelson Street between Columbia Street and Hicks Street
5. Huntington Street between Hicks Street and Hamilton Avenue Southbound
6. W. 9th Street and between  Hicks Steeet and Hamilton Avenue Southbound
7. Wolcott Street between Ferris Street and Bulkhead
8. Outfall in Buttermilk Channel

Lining of Combined Sewers in:
1. Van Brunt Street between Commerce and Verona Street
2. Intersection of Hicks Street and Nelson Street
3. Hicks Street between Huntington Street and  W. 9th Street 
4. Hicks Street intersection between Hicks Street and  W. 9th Street

Guniting of Combined Sewers in:
1. Columbus Street Nelson Street and Huntington Street
2. Richards Street between Commerce Street and Verona Street.","Roadway reconstruction including new sewers, water main, street lighting and traffic signals: Columbia Street south of Hamilton Avenue.






",Brooklyn,,Trans. & Env. Protection,Pre-Design/PrgDevelopment,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWK700B,SEK002321,Y,Infrastructure,Brooklyn,"RECONST. OF COLUMBIA ST., PH II/BED-768B/SEK002321","Roadway reconstruction including new sewers, water main, street lighting and traffic signals on Columbia Street Area south of Hamilton Avenue.

Trunk water main connections at shaft 23B in Columbia Street area. Reconstruction of Walcott Street Outfall.
Trunk water Main:
1. Van Brunt Street between Hamilton Avenue north bound and Delavan Street
2. delavan Street between Van Brunt Street and Columbia street
3. Nelson Street between Columbia Street and Hicks Street
4. Hicks Steeet between Luquer Street and W. 9th  Street
5. W. 9th Street and between Columbia street and Clinton Street ( to connect with water main installed under BED-759)

Distribution Water Mains:
1. Van Brunt Street between Hamilton Avenue south bound and Delavan Street
2. Richards Street beween Verona street and Commerce Street
3.  Hicks Steeet between Luquer Street and W. 9th  Street
4. Huntington Street between Hicks Street and Hamilton Avenue Southbound
5. W. 9th Street and between Columbia street and Clinton Street ( to connect with water main installed under BED-759)

Replacement of combined sewers in :
1. Van Brunt Street between Hamilton Avenue south bound and Summit Street
2. Intersection of Van Brunt and Bowne Street
3. Delavan Street between Van Brunt Street and Dwight Street
4. Nelson Street between Columbia Street and Hicks Street
5. Huntington Street between Hicks Street and Hamilton Avenue Southbound
6. W. 9th Street and between  Hicks Steeet and Hamilton Avenue Southbound
7. Wolcott Street between Ferris Street and Bulkhead
8. Outfall in Buttermilk Channel

Lining of Combined Sewers in:
1. Van Brunt Street between Commerce and Verona Street
2. Intersection of Hicks Street and Nelson Street
3. Hicks Street between Huntington Street and  W. 9th Street 
4. Hicks Street intersection between Hicks Street and  W. 9th Street

Guniting of Combined Sewers in:
1. Columbus Street Nelson Street and Huntington Street
2. Richards Street between Commerce Street and Verona Street.","Roadway reconstruction including new sewers, water main, street lighting and traffic signals: Columbia Street south of Hamilton Avenue.






",Brooklyn,,Trans. & Env. Protection,Pre-Design/PrgDevelopment,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWK732B,BED-780,Y,Infrastructure,BROOKLYN,Reconstruction of 5 Av from 34 to 65 St/ BED780,Reconstruction of 5th Avenue from 34 to 65 street along with reconstruction of Trunk and Distribution water mains and combined sewer,"Reconstruction of 5th Avenue from 34 Street to 65 Street , Brooklyn.",Brooklyn,,Transportation,Pre-Design/PrgDevelopment,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,2022,2024,,DDC
HWK732B,HWK732B,Y,Infrastructure,BROOKLYN,Reconstruction of 5 Av from 34 to 65 St/ BED780,Reconstruction of 5th Avenue from 34 to 65 street along with reconstruction of Trunk and Distribution water mains and combined sewer,"Reconstruction of 5th Avenue from 34 Street to 65 Street , Brooklyn.",Brooklyn,,Transportation,Pre-Design/PrgDevelopment,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,2022,2024,,DDC
HWK900,HWK900   ,Y,Infrastructure,BROOKLYN,BROWNSVILLE PEDESTRIAN SAFETY IMPROVEMENTS,"THIS PROJECT IS LOCATED IN THE BROWNSVILLE NEIGHBORHOOD OF EAST BROOKLYN AND IS BOUNDED BY SUTTER AVE, JUNIUS STREET, LIVONIA AVE AND ROCKAWAY AVE.  THIS AREA IS A NYC DOT TOP PRIORITY OF SAFETY IMPROVEMENTS AND RANKS IN THE TOP THIRD OF BROOKLYN CORRIDORS. IT HAS A RATE OF 11.2 KSI PER MILES WITH 2 PEDESTRIAN AND BICYCLIST FATALITIES SINCE 2010.  THIS PROJECT CONSISTS OF THE INSTALLATION OF 13 CURB EXTENSIONS, 1 SIDEWALK EXTENSION, 1 BUS BULB AND BUS PAD, 2 RAISED CROSSWALKS AND 2 MEDIAN RECONSTRUCTION.  THE PURPOSE OF THIS PROJECT IS TO CALM TRAFFIC, PROVIDE SAFER PEDESTRIAN CROSSINGS AND IMPROVE THE PUBLIC REALM IN A MAINLY RESIDENTIAL NEIGHBORHOOD.  THE CURB EXTENSION WILL SHORTEN CROSSING DISTANCE FOR PEDESTRIANS AND REDUCE THE SPEED OF VEHICLES APPROACHING AND TURNING ON SCHOOL CROSSWALKS.",Brownsville Pedestrian Safety Improvements,,,Transportation,Pre-Design/PrgDevelopment,New Construction,Standard,Requirement Contract,Requirement Contract,PIMS,FALSE,,,,2017-12-11 13:00:20.9170000 +00:00,
HWKF029B,HWKF029B,Y,Public Buildings,Transportation,424 Wythe Ave.,"Relocate DOT Paint Warehouse from 121 Plymouth Street, brooklyn to 424 Wythe Avenue, Brooklyn and housed in new explosion metal containers and building of a new pre-fab building","Relocate DOT Paint Warehouse from 121 Plymouth Street to a new, pre-fab building at 424 Wythe Avenue, Brooklyn.",,,Transportation,Substantial Completion,New Construction,Mayoral In,Standard Consultant,DDC Managed,PIMS,FALSE,,,,,DDC
HWKF2007A,HWKF2007,Y,Public Buildings,Transportation,Hamilton Avenue Asphalt Plant Control Tower Renov,Renovation of the control tower building and the installation of a new fire supression shed,Renovate the control tower building and install a new fire supression shed.,,,Transportation,Acceptance/Final Completion,Renovation,Critical,CM-Build,CM-Build,Project Info,FALSE,,,,,DDC
HWKF488R,HWKF488R,Y,Public Buildings,TRANSPORTATION,Hamilton Asphalt roof Replacement,"The scope of work includes replacement of roof and upgrades to the building façade. In addition, the consultant shall examine plumbing and electrical modifications that may be required to facilitate the building envelope rehabilitation.","The scope of work includes replacement of roof and upgrades to the building façade. In addition, the consultant shall examine plumbing and electrical modifications that may be required to facilitate the building envelope rehabilitation.",Brooklyn,,Transportation,Schematic Design,Renovation,Standard,DDC Managed,,PIMS,FALSE,,,,,DDC
HWKKP005,BED-794,Y,Infrastructure,BROOKLYN,DUMBO / VINEGAR HILL AREA-Phase II / BED-794,"Reconstruction and restoration of Belgian block roadways in the DUMBO (Down under the Manhattan Bridge overpass) and Vinegar Hill communities and the permanently build out  the Pearl Street Triangle Plaza.

Trunk Water Main (WM-6) Replacement In:
1. Water Street between Adams Street and Gold Street

Water Main (WM-1) Replacement In:
1. Plymouth Street between Main Street and Adams Street
2. Water Street between Adams Street and Gold Street
3.  Anchorage Pl between Plymouth Street and Water Street
4.  Main Street between Plymouth Street and Water Street
5.  Main Street between Water Street and Front Street
6. Adams Street between John Street and Plymouth Street
7.  Pearl Street between Plymouth Street and Front Street
8.  Jay Street intersection of Water Street
9. Bridge Street intersection of Water Street

Combined Sewer Replacement In:
1. Anchorage Pl between Plymouth Street and Water Street
2. Water Street between Pearl Street and Gold Street

High Level Storm Sewer Extention:
1. John Street between Adams Street and Pearl Street
2. Pearl Street between John Street and Front Street
3.  Water Street between Pearl Street and Gold Street
4. Adams Street between John Street and Plymouth Street
5. Anchorage Pl between Plymouth Street and Water Stree

.",Reconstruction DUMBO/Vinegar Hill Area including Trunk and Distribution water main replacement; Installation of HLSS and Combined Sewer replacement; Restoration of Belgian block in Water Street; Street lighting and Traffic Signal work.,Brooklyn,,Transportation,Final Design,Street Reconstruction,Standard,Standard Consultant,Requirements TO,PIMS,TRUE,,2014,2018,,DDC
HWKKP005,HWKKP005,Y,Infrastructure,BROOKLYN,DUMBO / VINEGAR HILL AREA-Phase II / BED-794,"Reconstruction and restoration of Belgian block roadways in the DUMBO (Down under the Manhattan Bridge overpass) and Vinegar Hill communities and the permanently build out  the Pearl Street Triangle Plaza.

Trunk Water Main (WM-6) Replacement In:
1. Water Street between Adams Street and Gold Street

Water Main (WM-1) Replacement In:
1. Plymouth Street between Main Street and Adams Street
2. Water Street between Adams Street and Gold Street
3.  Anchorage Pl between Plymouth Street and Water Street
4.  Main Street between Plymouth Street and Water Street
5.  Main Street between Water Street and Front Street
6. Adams Street between John Street and Plymouth Street
7.  Pearl Street between Plymouth Street and Front Street
8.  Jay Street intersection of Water Street
9. Bridge Street intersection of Water Street

Combined Sewer Replacement In:
1. Anchorage Pl between Plymouth Street and Water Street
2. Water Street between Pearl Street and Gold Street

High Level Storm Sewer Extention:
1. John Street between Adams Street and Pearl Street
2. Pearl Street between John Street and Front Street
3.  Water Street between Pearl Street and Gold Street
4. Adams Street between John Street and Plymouth Street
5. Anchorage Pl between Plymouth Street and Water Stree

.",Reconstruction DUMBO/Vinegar Hill Area including Trunk and Distribution water main replacement; Installation of HLSS and Combined Sewer replacement; Restoration of Belgian block in Water Street; Street lighting and Traffic Signal work.,Brooklyn,,Transportation,Final Design,Street Reconstruction,Standard,Standard Consultant,Requirements TO,PIMS,TRUE,,2014,2018,,DDC
HWKP2027,HWKP2027,Y,Infrastructure,BROOKLYN,CHURCH AVENUE SIDEWALKS AND NECKDOWNS,"Replacement and Reconstruction of Sidewalks and Neckdowns on Church Avenue Area, Brooklyn.
The scope of the project also includes full reconstruction of the intersection at Church Avenue and McDonald Avenue.","Replacement and Reconstruction of Sidewalks and Neckdowns on Church Avenue Area, Brooklyn.",Brooklyn,,Transportation,Construction 0-25%,Sidewalks,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2016,,DDC
HWKP2029,HWKP2029,Y,Infrastructure,BROOKLYN,RECONSTRUCTION OF PUTNAM PLAZA TRIANGLE,"Putnam Plaza is an existing plaza implemented in temporary materials that also includes an existing Department of Parks and Recreation (DPR) Green street triangle with trees and a landscape area. This project will create a large, permanent public space for the Clinton Hill and Bedford-Stuyvesant neighborhoods by permanently pedestrianizing Putnam Avenue from Grand Avenue to Fulton Street, increasing the amount of open space for the local residents, shoppers, and transit users. The design will incorporate the existing Green street and will likely include additional trees, benches, movable tables and chairs, trash receptacles, green infrastructure elements, pedestrian Wayfinding signage and an NYC Bike Share station.","Putnam Plaza is an existing plaza implemented in temporary materials that also includes an existing Department of Parks and Recreation (DPR) Green street triangle with trees and a landscape area. This project will create a large, permanent public space for the Clinton Hill and Bedford-Stuyvesant neighborhoods by permanently pedestrianizing Putnam Avenue from Grand Avenue to Fulton Street, increasing the amount of open space for the local residents, shoppers, and transit users. The design will incorporate the existing Green street and will likely include additional trees, benches, movable tables and chairs, trash receptacles, green infrastructure elements, pedestrian Wayfinding signage and an NYC Bike Share station.",Brooklyn,,Transportation,Construction 0-25%,Other,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2017,,DDC
HWM1163,HWM1163,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF 7TH AVENUE (SEN002164),Street Reconstruction of 7th Avenue between West 31st and West 34th Streets.,Street Reconstruction of 7th Avenue between West 31st and West 34th Streets.,,,Transportation,Cancelled Project,Street Reconstruction,Standard,In-House/Consultant,Requirements TO,PIMS,FALSE,,,,,
HWM1683,HWM1683,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF W 33RD ST (SEN002165),"Full Reconstruction of West 33rd Street between 10th Avenue and 11th Avenue, including sewer and water main replacement, Manhattan
As of 10/21/09 The Scope of work has changed 
Phase 1 & 2 is the construction of the north retaining wall, The MPT and street reconstruction up to the viaduct (abutment)
Phase 3 is the South retaining wall
Phase 4 is the bridge from the abutment wall to the intersection of 11 St","Reconstruction of West 33rd Street between 10th Avenue and 11th Avenue, Borough of Manhattan",Manhattan,,Transportation,Construction 50-75%,Street Reconstruction,Mayoral In,Standard Consultant,Requirements TO,PIMS,FALSE,,,2016,,DDC
HWM2025,HWM2025,Y,Infrastructure,MANHATTAN & CITYWIDE,DELANCEY STREET SAFETY IMPROVEMENTS,DELANCEY STREET SAFETY IMPROVEMENTS,DELANCEY STREET SAFETY IMPROVEMENTS,Manhattan,,Transportation,Design Development,Other,Critical,Requirement Contract,,PIMS,FALSE,,2017,2020,,DDC
HWM215,HWM215,Y,Infrastructure,MANHATTAN & CITYWIDE,"STEP RECONSTRUCTION OF WEST 215 ST, MANHATTAN","STEP RECONSTRUCTION OF W 215 ST, MANHATTAN","STEP RECONSTRUCTION OF W 215 ST, MANHATTAN",Manhattan,,Transportation,Substantial Completion,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2009,2013,,DDC
HWMBRT5A,HWMBRT5A,Y,Infrastructure,MANHATTAN & CITYWIDE,34th STREET TRANSITWAY - Phase I,"As part of the 34th Street Select Bus Service project, work includes installation of pavement markings on 34th St. from FDR Drive to First Ave. and installation of bus bulbs & pavement markings on 34th St. from First Ave. to Lexington Ave.

DEP Work: Trunk and Distribution Watermains replacement in E34th St. between 1st Ave. & 3rd Ave.","As part of the 34th Street Select Bus Service project, work includes installation of pavement markings on 34th St. from FDR Drive to First Ave. and installation of bus bulbs & pavement markings on 34th St. from First Ave. to Lexington Ave.

DEP Work: Trunk and Distribution Watermains replacement in E34th St. between 1st Ave. & 3rd Ave.",Manhattan,,Transportation,Substantial Completion,Street Reconstruction,Mayoral In,In-House/Consultant,Requirements TO,PIMS,FALSE,,2012,2014,,DDC
HWMM008,HWMM008,Y,Infrastructure,MANHATTAN & CITYWIDE,E. 86TH SAFETY & STREETSCAPE IMPROVEMENTS (MED633),"Replacement of curbs and first five feet of sidewalk and street enhancements on East 86th Street from Park Avenue to Second Avenue in Manhattan.  In addition, the project includes DOT School Safety neckdowns and DOT Transit Development bus bulbs and neckdowns at the following locations in Manhattan:
 
School Safety neckdowns:
1. Type II Neckdown @ NW and SE corners of E. 86th/ Park Ave. for Ramaz Lower School
2. Type II Neckdown @ SW corner of E. 85th/Madison Ave. for Park Ave. Christian Church Day School
3. Type I Neckdown @ NW and SW corners of E. 84th/Madison Ave. for Park Ave. Christian Church Day School

Transit Development bus bulbs and neckdowns along E. 86th St. and:
1.  Northwest corner with Lexington Ave. (bus bulb)
2.  Northeast corner with Lexington Ave. (Type II neckdown)
3.  Southeast corner with Lexington Ave. (bus bulb)
4.  Northwest corner with Third Ave. (bus bulb)
5.  Southwest corner with Third Ave. (Type II neckdown)
6.  Southeast corner with Third Ave. (bus bulb)

Water Main (WM-1) in: 
1. E. 86th Street between Park  Avenue and 2nd Avenue.
2. Madison Avenue between E. 84th Street and E. 85th Street.
3. Park Avenue intersection with E. 86th Steert
4. Lexington Avenue intersection with E. 86th Steert
5. 3rd Avenue intersection with E. 86th Steert
6. 2nd Avenue intersection with E. 86th Steert.

This is an FTA-funded project.","Replacement of curbs and first five feet of sidewalk and street enhancements on East 86th Street from Park Avenue to Second Avenue in Manhattan.  In addition, the project includes DOT School Safety neckdowns and DOT Transit Development bus bulbs and neckdowns.",Manhattan,,Transportation,Construction 25-50%,Other,Standard,Requirement Contract,Requirements TO,PIMS,TRUE,,2013,2016,,DDC
HWMM008,MED-633,Y,Infrastructure,MANHATTAN & CITYWIDE,E. 86TH SAFETY & STREETSCAPE IMPROVEMENTS (MED633),"Replacement of curbs and first five feet of sidewalk and street enhancements on East 86th Street from Park Avenue to Second Avenue in Manhattan.  In addition, the project includes DOT School Safety neckdowns and DOT Transit Development bus bulbs and neckdowns at the following locations in Manhattan:
 
School Safety neckdowns:
1. Type II Neckdown @ NW and SE corners of E. 86th/ Park Ave. for Ramaz Lower School
2. Type II Neckdown @ SW corner of E. 85th/Madison Ave. for Park Ave. Christian Church Day School
3. Type I Neckdown @ NW and SW corners of E. 84th/Madison Ave. for Park Ave. Christian Church Day School

Transit Development bus bulbs and neckdowns along E. 86th St. and:
1.  Northwest corner with Lexington Ave. (bus bulb)
2.  Northeast corner with Lexington Ave. (Type II neckdown)
3.  Southeast corner with Lexington Ave. (bus bulb)
4.  Northwest corner with Third Ave. (bus bulb)
5.  Southwest corner with Third Ave. (Type II neckdown)
6.  Southeast corner with Third Ave. (bus bulb)

Water Main (WM-1) in: 
1. E. 86th Street between Park  Avenue and 2nd Avenue.
2. Madison Avenue between E. 84th Street and E. 85th Street.
3. Park Avenue intersection with E. 86th Steert
4. Lexington Avenue intersection with E. 86th Steert
5. 3rd Avenue intersection with E. 86th Steert
6. 2nd Avenue intersection with E. 86th Steert.

This is an FTA-funded project.","Replacement of curbs and first five feet of sidewalk and street enhancements on East 86th Street from Park Avenue to Second Avenue in Manhattan.  In addition, the project includes DOT School Safety neckdowns and DOT Transit Development bus bulbs and neckdowns.",Manhattan,,Transportation,Construction 25-50%,Other,Standard,Requirement Contract,Requirements TO,PIMS,TRUE,,2013,2016,,DDC
HWMNYPL,HWMNYPL,Y,Infrastructure,MANHATTAN & CITYWIDE,New York Public Library Pedestrian Improvements,"New York Public Library Pedestrian Improvements at the following locations in Manhattan:

- Southern sidewalk and curb of West 42nd Street between 5th Avenue and 6th Avenue
- Northern sidewalk and curb of West 40th Street between 5th Avenue and 6th Avenue
- Curb extension at 6th Avenue on West 40th Street","New York Public Library Pedestrian Improvements at the following locations in Manhattan:

- Southern sidewalk and curb of West 42nd Street between 5th Avenue and 6th Avenue
- Northern sidewalk and curb of West 40th Street between 5th Avenue and 6th Avenue
- Curb extension at 6th Avenue on West 40th Street",Manhattan,,Transportation,Pre-Design/PrgDevelopment,Upgrade,Critical,Requirements TO,,PIMS,FALSE,,2017,2020,,DDC
HWMP116,HWMP116,Y,Infrastructure,Manhattan & Citywide,RECONST OF ASTOR PL (SEN002163),"The creation of new pedestrian public spaces and improvement of Cooper Park. The Resurfacing of East 4th Street between Bowery and Lafayette Street, Lafayette Street and Broadway. And the reconstruction of the following Street segments:
Lafayette Street between Astor Place and East 9th Street,
East 8th Street between Lafayette and 3rd Avenue, 
East 4th Street between Bowery and 2nd Avenue,
Astor Place between Lafayette Street and 3rd Avenue,
3rd Avenue between East 5th Street and East 9th Street,
Fourth Avenue/ Cooper Square/ Bowery between East 4th Street and East 9th Street, and
Median construction on Third Ave b/t East 4th Street and East 9th Street.","Street reconstruction and reconfiguration, includes the expansion of Cooper Park and creation of new pedestrian plazas.
",,,Transportation,Substantial Completion,Other,Standard,In-House/Consultant,Requirements TO,PIMS,FALSE,,,,,
HWMP2019,MED-604,Y,Infrastructure,Manhattan & Citywide,EAST HOUSTON ST PEDESTRIAN IMPROVEMENTS (MED604),"Street Reconstruction of East Houston St. from Bowery to FDR Drive.  Originally scoped to improve pedestrian and bicycle circulation on East Houston, this project will implement watermain and sewer replacement in addition to neckdowns, sidewalk widenings, and median enlargements in Manhattan.","Roadway reconstruction, East Houston Street from the Bowery to the FDR Drive, includes sewer and water main replacement, reconfigured sidewalks, medians and traffic neck downs.",Manhattan,,Transportation,Construction 75%-Subst.,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWMP2020,HWMP2020,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF GANSEVOORT AREA,"Street Reconstruction and Pedestrian Space improvement within the following limits:

- Ninth Avenue from Gansevoort Street to West 16 th Street
-Gansevoort Street from Ninth Ave to Hudson Street
-Hudson Street from West 14th Street to a point approximately 100' south of West 14th Street

The project corridor is bordered by Chelsea and Gansevoort Market Historic District on the north and south, respectively.

DEP Scope:Trunk Water Main in W. 13th St. and  in following locations to connect Shaft 27B of City Water Tunnel #3 to the water distribution system, Phase 2, Borough of Manhattan:","Street Reconstruction and Pedestrian Space improvement within the following limits:

- Ninth Avenue from Gansevoort Street to West 16th Street
- Gansevoort Street from Ninth Avenue to Hudson Street
- Hudson Street from West 14th Street to a point approximately 100' south of West 14th Street",Manhattan,,Transportation,Construction 0-25%,Street Reconstruction,Standard,In-House/Consultant,Standard Consultant,PIMS,FALSE,,2011,2015,,DDC
HWMWTCA6A,HWMWTCA6A,Y,Infrastructure,Manhattan & Citywide,"RECONSTRUCTION OF BROADWAY, ETC (SEN002146)","Street reconstruction, water main replacement and sewer rehabilitation on the following streets:
Broadway from Ann St. to Cortlandt St. (ADD as per 8/19/10 LMBCO's letter)
Broadway from Cortlandt St. to Rector St.

DELETED LOCATIONS:
Broadway from Beaver St. to Stone St. (DELETE as per 11/29/10 LMBCO's email)
Broadway from Morris St. to Battery Pl. (sewer work only) (DELETE as per 11/29/10 LMBCO's email)
John St. from Broadway to William St. (DELETE as per 3/18/04 Lower Manhattan Executive Meeting)
Morris St. from West St. to Washington St. (DELETE as per 6/9/03 memo)
Morris St. from Greenwich St. to Broadway (DELETE as per 6/9/03 memo)","Reconstruct roadway; replace water main; rehabilitate sewers: sections of Broadway and adjoining streets south of Fulton.





















",,,Trans. & Env. Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
